        ra        |       dec        | psfmag_g | ?column? | skyivar_g | skyivar_i  
 140.179392255556 |  20.983042424175 |  14.3625 |  0.44631 |    153.79 |    1.19767
  140.13748108705 |  20.529788453171 |  14.5073 |  0.37634 |   4516.15 |    207.313
 140.970435330565 | 20.0969270813066 |  14.9229 |  0.22506 |    210.93 |    57.4838
 140.849745041138 | 20.7216285928046 |  12.7581 |  0.36937 |   4742.15 |    557.356
 140.752553576984 | 20.0867421003093 |  13.4019 | 0.463961 |   5922.47 |    834.735
 140.657885065185 | 20.5255453819542 |  11.8859 |  0.41217 |      1.82 |   0.235099
 140.759985573931 | 20.5553940133163 |  11.6166 |  0.75408 |   1142.34 |     1.8901
 140.956006774437 | 20.4001806537712 |  14.1363 | 0.370669 |  0.102258 |  0.0210458
 140.050157305446 | 20.3556239835547 |  13.4307 |  0.41519 | 0.0189585 | 0.00292621
 140.272133418332 |  20.269240055782 |  13.6173 | 0.662279 |   4207.33 |    541.278
 140.709565366988 | 20.8032927701562 |  14.6776 |  0.31913 |   6782.85 |     2189.5
 140.339104030976 | 20.9898116347022 |  13.3708 |  0.56685 |   760.913 |    202.919
  140.42772434919 | 20.8277335074278 |  14.0306 |  0.61342 |   4388.14 |     563.78
 140.051383329035 | 20.0567958210316 |  14.5779 | 0.462621 |   1718.07 |    77.7591
(160 rows)

